,Year,Index,SP14,Price,IdxGPRO,CPI,CPI80,CPI12,CPI14,Portfolio
0,1960,55.84575398763021,0.028915007131449223,,,13.5630607803977,0.12881438859261393,0.12881438859261393,0.12492810209959468,
1,1961,66.26632005310059,0.03431041717754787,,,13.7082837473334,0.13019363535691833,0.13019363535691833,0.1262657374559716,
2,1962,62.320753975520056,0.03226753901538508,,,13.8726149993924,0.13175436195863297,0.13175436195863297,0.12777937746450507,
3,1963,69.8593624920484,0.036170770746572795,,,14.0445895655005,0.13338768049530955,0.13338768049530955,0.1293634193338991,
4,1964,81.37288548164217,0.04213207622784445,,,14.2242074456579,0.13509359096695003,0.13509359096695003,0.13101786306415558,
5,1965,88.1572617424859,0.045644792485703245,,,14.4496852101109,0.13723505304837197,0.13723505304837197,0.13309471795958477,
6,1966,85.18162687997969,0.04410411128567837,,,14.8853541109182,0.1413727933412871,0.1413727933412871,0.1371076240287174,
7,1967,91.95589638516248,0.04761159461370553,,,15.2980930695779,0.14529275782931342,0.14529275782931342,0.1409093245152655,
8,1968,98.37716803086542,0.05093630781338047,,,15.9515964207889,0.15149936826868657,0.15149936826868657,0.14692868361896488,
9,1969,97.77259991455078,0.050623283274423454,,,16.8229342224036,0.1597748488545178,0.1597748488545178,0.15495449575723105,
10,1970,83.15413395438607,0.04305434531035484,,,17.8051000777325,0.16910291249731926,0.16910291249731926,0.16400113487799645,
11,1971,98.31501972062786,0.050904129559790685,,,18.5694314826577,0.17636210599366264,0.17636210599366264,0.17104132096419505,
12,1972,109.13482076333338,0.05650624972061775,,,19.1770749495732,0.18213316482325534,0.18213316482325534,0.17663826890272263,
13,1973,107.43841283283535,0.05562790814752228,,,20.3617886272073,0.19338491474258798,0.19338491474258798,0.18755055733633086,
14,1974,82.78090915001428,0.042861102366899655,,,22.612744614712,0.21476323958931917,0.21476323958931917,0.20828390536018565,
15,1975,86.18122532056725,0.044621668914940155,,,24.6802610650347,0.2343993579969284,0.2343993579969284,0.22732760872335322,
16,1976,102.03529629311542,0.05283036057904182,,,26.0980958211709,0.247865161932645,0.247865161932645,0.24038715391325124,
17,1977,98.18186502608042,0.05083518664708011,,,27.7949115401049,0.26398057149452786,0.26398057149452786,0.25601636702461267,
18,1978,96.11396807716008,0.04976450086068393,,,29.9159311887723,0.28412483344688055,0.28412483344688055,0.27555288341381357,
19,1979,102.9990513315314,0.05332935972971925,,,33.2828110274678,0.31610158079827316,0.31610158079827316,0.3065649031235184,
20,1980,118.71011835030416,0.06146400887405912,,,37.7923663165265,0.3589308224266994,0.3589308224266994,0.3481020010320904,
21,1981,128.0379051841766,0.06629361548805167,,,41.6980997956942,0.3960253011930135,0.3960253011930135,0.3840773519325647,
22,1982,119.70573159922724,0.06197950310839523,,,44.254788345169,0.4203073034382822,0.4203073034382822,0.4076267743908991,
23,1983,160.47312203509065,0.08308745314958665,,,45.6764447583299,0.43380940334148127,0.43380940334148127,0.4207215205112288,
24,1984,160.46355724711665,0.08308250083194868,,,47.6407764689876,0.4524655306270832,0.4524655306270832,0.4388147987527587,
25,1985,186.82817422775997,0.09673319105599124,,,49.3299488738723,0.46850834825400217,0.46850834825400217,0.45437361000325766,
