,Year,Index,SP80,Price,IdxAAPL,CPI,CPI80,Portfolio
0,1960,55.84575398763021,0.4704380280612122,,,13.5630607803977,0.3588836080493486,
1,1961,66.26632005310059,0.5582196444076816,,,13.7082837473334,0.3627262615026783,
2,1962,62.320753975520056,0.5249826623170946,,,13.8726149993924,0.3670745272525035,
3,1963,69.8593624920484,0.5884870090508962,,,14.0445895655005,0.3716250379209211,
4,1964,81.37288548164217,0.6854755652885227,,,14.2242074456579,0.3763777935079364,
5,1965,88.1572617424859,0.7426263486852974,,,14.4496852101109,0.3823440186065325,
6,1966,85.18162687997969,0.7175599524601218,,,14.8853541109182,0.3938719789665268,
7,1967,91.95589638516248,0.7746255977422911,,,15.2980930695779,0.4047932045707359,
8,1968,98.37716803086542,0.8287176307967463,,,15.9515964207889,0.42208514511072864,
9,1969,97.77259991455078,0.8236248204726035,,,16.8229342224036,0.44514106583071983,
10,1970,83.15413395438607,0.7004805917976158,,,17.8051000777325,0.4711295378703603,
11,1971,98.31501972062786,0.828194100780087,,,18.5694314826577,0.4913540297300023,
12,1972,109.13482076333338,0.9193388253668923,,,19.1770749495732,0.5074325007584168,
13,1973,107.43841283283535,0.9050484855536334,,,20.3617886272073,0.5387804631408631,
14,1974,82.78090915001428,0.6973365901778851,,,22.612744614712,0.5983415916675086,
15,1975,86.18122532056725,0.7259804515252296,,,24.6802610650347,0.6530488421478411,
16,1976,102.03529629311542,0.8595332707193277,,,26.0980958211709,0.6905652745474758,
17,1977,98.18186502608042,0.827072421378214,,,27.7949115401049,0.7354636464758827,
18,1978,96.11396807716008,0.8096527020008132,,,29.9159311887723,0.7915866113863885,
19,1979,102.9990513315314,0.8676518292028769,,,33.2828110274678,0.8806754980281116,
20,1980,118.71011835030416,1.0,0.1055915625049517,1.0,37.7923663165265,1.0,1.0
21,1981,128.0379051841766,1.0785761733161354,0.0843375614538729,0.7987149678736679,41.6980997956942,1.103347153402769,0.8507255107334798
22,1982,119.70573159922724,1.0083869282817586,0.0663983264106064,0.628822273630932,44.254788345169,1.1709980786732717,0.699065708018766
23,1983,160.47312203509065,1.3518066047373247,0.1299655943254944,1.2308331389584246,45.6764447583299,1.2086156335322067,1.0684288999919378
24,1984,160.46355724711665,1.3517260320944287,0.0929645112321782,0.8804160960097417,47.6407764689876,1.260592577611485,0.885354303899494
25,1985,186.82817422775997,1.5738184480319093,0.0701080132719306,0.663954691158613,49.3299488738723,1.305288704621294,0.8571947076795444
26,1986,236.39047410082912,1.9913254016246498,0.1125918235997908,1.0662956483337465,50.2662548449057,1.3300637071493564,1.1494265400683727
27,1987,286.99802377572644,2.417637415951503,0.2707118384922917,2.5637639227054403,52.1082935307754,1.3788047325310928,1.806420162742156
