,Year,Index,SP12,Price,IdxMETA,CPI_x,CPI80_x,CPI_y,CPI80_y,CPI12,Portfolio
0,1960,55.84575398763021,0.04048688554437181,,,13.5630607803977,0.12881438859261393,13.5630607803977,0.12881438859261393,0.12881438859261393,
1,1961,66.26632005310059,0.04804155596199593,,,13.7082837473334,0.13019363535691833,13.7082837473334,0.13019363535691833,0.13019363535691833,
2,1962,62.320753975520056,0.04518111141994279,,,13.8726149993924,0.13175436195863297,13.8726149993924,0.13175436195863297,0.13175436195863297,
3,1963,69.8593624920484,0.05064642898446371,,,14.0445895655005,0.13338768049530955,14.0445895655005,0.13338768049530955,0.13338768049530955,
4,1964,81.37288548164217,0.05899346800188709,,,14.2242074456579,0.13509359096695003,14.2242074456579,0.13509359096695003,0.13509359096695003,
5,1965,88.1572617424859,0.06391198455058611,,,14.4496852101109,0.13723505304837197,14.4496852101109,0.13723505304837197,0.13723505304837197,
6,1966,85.18162687997969,0.061754717802485315,,,14.8853541109182,0.1413727933412871,14.8853541109182,0.1413727933412871,0.1413727933412871,
7,1967,91.95589638516248,0.06666590718608312,,,15.2980930695779,0.14529275782931342,15.2980930695779,0.14529275782931342,0.14529275782931342,
8,1968,98.37716803086542,0.07132118125090244,,,15.9515964207889,0.15149936826868657,15.9515964207889,0.15149936826868657,0.15149936826868657,
9,1969,97.77259991455078,0.07088288328944185,,,16.8229342224036,0.1597748488545178,16.8229342224036,0.1597748488545178,0.1597748488545178,
10,1970,83.15413395438607,0.06028483212346459,,,17.8051000777325,0.16910291249731926,17.8051000777325,0.16910291249731926,0.16910291249731926,
11,1971,98.31501972062786,0.07127612515722123,,,18.5694314826577,0.17636210599366264,18.5694314826577,0.17636210599366264,0.17636210599366264,
12,1972,109.13482076333338,0.0791202317391813,,,19.1770749495732,0.18213316482325534,19.1770749495732,0.18213316482325534,0.18213316482325534,
13,1973,107.43841283283535,0.07789037505690155,,,20.3617886272073,0.19338491474258798,20.3617886272073,0.19338491474258798,0.19338491474258798,
14,1974,82.78090915001428,0.06001425273545475,,,22.612744614712,0.21476323958931917,22.612744614712,0.21476323958931917,0.21476323958931917,
15,1975,86.18122532056725,0.06247940365171506,,,24.6802610650347,0.2343993579969284,24.6802610650347,0.2343993579969284,0.2343993579969284,
16,1976,102.03529629311542,0.073973239996374,,,26.0980958211709,0.247865161932645,26.0980958211709,0.247865161932645,0.247865161932645,
17,1977,98.18186502608042,0.0711795910701529,,,27.7949115401049,0.26398057149452786,27.7949115401049,0.26398057149452786,0.26398057149452786,
18,1978,96.11396807716008,0.06968041340470249,,,29.9159311887723,0.28412483344688055,29.9159311887723,0.28412483344688055,0.28412483344688055,
19,1979,102.9990513315314,0.07467194020448295,,,33.2828110274678,0.31610158079827316,33.2828110274678,0.31610158079827316,0.31610158079827316,
20,1980,118.71011835030416,0.08606210197595623,,,37.7923663165265,0.3589308224266994,37.7923663165265,0.3589308224266994,0.3589308224266994,
21,1981,128.0379051841766,0.09282453261676989,,,41.6980997956942,0.3960253011930135,41.6980997956942,0.3960253011930135,0.3960253011930135,
22,1982,119.70573159922724,0.08678389865300598,,,44.254788345169,0.4203073034382822,44.254788345169,0.4203073034382822,0.4203073034382822,
23,1983,160.47312203509065,0.11633931786867481,,,45.6764447583299,0.43380940334148127,45.6764447583299,0.43380940334148127,0.43380940334148127,
24,1984,160.46355724711665,0.11633238361766542,,,47.6407764689876,0.4524655306270832,47.6407764689876,0.4524655306270832,0.4524655306270832,
