Year,Price
1980,0.10559156250495177
1981,0.08433756145387299
1982,0.06639832641060645
1983,0.1299655943254944
1984,0.0929645112321782
1985,0.07010801327193067
1986,0.11259182359979086
1987,0.27071183849229175
1988,0.29075432801435114
1989,0.29437605658220867
1990,0.26829760942770087
1991,0.3790232649904937
1992,0.3991595659199662
1993,0.3015484101923087
1994,0.2544123965596396
1995,0.30623925595529494
1996,0.18936987426571958
1997,0.13653442384343845
1998,0.23227060603953542
1999,0.4390115276688621
2000,0.6947537288661041
2001,0.307305985280583
2002,0.29089168181258535
2003,0.28185333660434164
2004,0.5399577582166308
2005,1.4188152551651
2006,2.152436922270938
2007,3.8991526142059567
2008,4.31574785379553
2009,4.462721344024416
2010,7.898453246979487
2011,11.064670108613514
2012,17.552719512939454
2013,14.691349635048518
2014,20.561008074926953
2015,27.208125530727326
2016,24.20099877554273
2017,35.48817671057712
2018,45.24308980508629
2019,50.62506321498326
2020,93.77321748394269
2021,139.58771820673866
2022,154.14656158082514
2023,135.57200355529784
